id,year,title,authors,journal,doi,region,proxy_or_method,evidence_type,priority,abstract_status,metadata_source,last_checked,notes_file
zhang2026_tibetan_porphyry,2026,"Paleoelevation variations and exhumation history of the Tibetan Plateau control spatiotemporal distribution of porphyry system deposits","Peng Zhang; Zhenjie Zhang; Mark J. Hoggard; Qiuming Cheng","Geological Society of America Bulletin",10.1130/b38560.1,"Tibetan Plateau; Qiangtang; Lhasa","whole-rock geochemistry; zircon geochronology; low-temperature thermochronology","integrated tectonic, paleoelevation and exhumation synthesis",A,available,CrossRef,2026-08-27,
zhang2026_jianzha_pollen,2026,"Late Miocene pollen record and quantitative paleoclimate and paleoelevation reconstructions for the Jianzha Basin, northeastern Tibetan Plateau","Beibei Zhang; Chaofeng Fu; Feng Wang; Fengyan Lu; Chen Liang; Cheng Quan","Palaeogeography, Palaeoclimatology, Palaeoecology",10.1016/j.palaeo.2026.114135,"Jianzha Basin; northeastern Tibetan Plateau","pollen; quantitative paleoclimate reconstruction","regional Late Miocene reconstruction",A,metadata-only,CrossRef,2026-08-27,
hren2026_sierra_leafwax,2026,"Orographic precipitation, fossil leaf wax d2H, and the paleotopography of the Eocene Sierra Nevada, California, USA","M. T. Hren; M. T. Brandon",Geosphere,10.1130/ges02851.1,"Northern Sierra Nevada; California","fossil leaf-wax d2H; modern water; orographic precipitation and isotope model","proxy plus atmospheric-model reconstruction",A,available,CrossRef,2026-08-27,
zeng2025_northern_tibet,2025,"Insights into paleoelevation and paleo-drainage change in northern Tibet from the Late Cretaceous to late Oligocene","Deng Zeng; Lin Ding; Zhongyu Xiong; Liyun Zhang; Chao Wang; Junyi Wang; Xiaodong Wang; Yahui Yue; Jing Xie; Xudong Guo","Geological Society of America Bulletin",10.1130/b38115.1,"Fenghuoshan Basin; northern Tibet","zircon and calcite U-Pb; detrital zircon; stable and clumped isotopes","chronostratigraphy, paleoelevation and drainage reconstruction",A,available,CrossRef,2026-08-27,
lai2025_plant_communities,2025,"Integrating fossil and extant plant communities to calibrate paleoelevation of the Qinghai-Tibet Plateau","Yang-Jun Lai; Jian-Fei Ye; Bing Liu; Yun Liu; An-Min Lu; Fu-Wen Wei; Zhi-Duan Chen","Journal of Systematics and Evolution",10.1111/jse.13172,"Qinghai-Tibet Plateau; Lhasa; Qiangtang; Himalaya","fossil and extant plant community comparison","biological proxy calibration",A,available,CrossRef,2026-08-27,
xu2025_central_himalaya,2025,"Stable isotopes of modern water and biotic fossils across central Himalaya as indicators of paleoelevation and paleoclimate","Yadong Xu; Fenning Chen; Xiaoning Guo; Junliang Ji; Kai Cao; Bowen Song; Guocan Wang; An Wang; Kexin Zhang","Palaeogeography, Palaeoclimatology, Palaeoecology",10.1016/j.palaeo.2025.113256,"Central Himalaya","stable isotopes of modern water and biotic fossils","modern calibration and fossil application",A,metadata-only,CrossRef,2026-08-27,
kong2025_carbonates,2025,"Quantifying Elevation Effects on d13C, d18O, and Clumped Isotope (Delta47) in Modern Terrestrial Carbonates From the Southeastern Tibetan Plateau: Implications for Paleoelevation Reconstruction","Kai Kong; Yangrui Guo; He Tang; Fei Tang; Yiwei Chen; Gangjian Wei; Wenfeng Deng","Journal of Geophysical Research: Earth Surface",10.1029/2025jf008315,"Yunnan; southeastern Tibetan Plateau","d13C; d18O; clumped isotope Delta47; tufa; speleothem","elevation-transect calibration of carbonate archives",A,available,CrossRef,2026-08-27,
lu2025_moisture_recycling,2025,"Moisture Recycling Modulates Stable Isotopes of River Water in the Tibetan Plateau: Implications for Paleoelevation Reconstruction","Heping Lu; Jun Zhong; Sainan Chen; Sen Xu; Wanfa Wang; Si-Liang Li","Journal of Hydrometeorology",10.1175/jhm-d-24-0155.1,"Bailong River; northeastern Tibetan Plateau","river-water d18O and dD; isotope lapse rate; moisture recycling","hydrological-process calibration",A,available,CrossRef,2026-08-27,
vialichka2025_wallowa,2025,"Paleoaltimetry of intracontinental mountains: The uplift history of the Wallowa Mountains (Eastern Oregon, USA) as constrained by triple oxygen and hydrogen isotope analysis of meteoric hydrothermal systems","Kseniya Vialichka; Ilya N. Bindeman","Chemical Geology",10.1016/j.chemgeo.2025.123087,"Wallowa Mountains; eastern Oregon","triple oxygen and hydrogen isotopes; meteoric hydrothermal systems","intracontinental mountain uplift reconstruction",B,metadata-only,CrossRef,2026-08-27,
gao2025_gaize,2025,"Late Cretaceous-Paleogene Exhumation History and Evolution of Paleotopography in the Gaize Basin, Central Tibet","Yuan Gao; Wentian Mi; Wenguang Yang; Guozhong Ji; Yuhang Luo; Ke Miao","ACS Omega",10.1021/acsomega.4c10175,"Gaize Basin; central Tibet","exhumation history; paleotopography reconstruction","regional exhumation and relief evolution",B,metadata-only,CrossRef,2026-08-27,
